material;id_tienda;stock_restaurado
000000000000611728;3172;83
000000000000180017;3172;23
000000000000663242;3193;154
000000000000005757;3211;54
000000000645975005;3180;743
000000000000008509;3089;108
000000000400067005;3187;65
000000000000177772;3187;139
000000000000639076;3092;219
000000000000141271;3091;135
000000000000010630;3193;27
000000000000180026;3225;14
000000000000005753;3187;75
000000000000759661;3098;174
000000000000615396;3180;49
000000000000560445;3193;428
000000000000635083;3223;12
000000000000210257;3225;106
000000000000215154;3089;70
000000000000191021;3091;69
000000000000637200;3074;7
000000000000182689;3206;50
000000000000872676;3212;139
000000000000005964;3212;1625
000000000000324538;3091;55
000000000000613458;3088;19
000000000000781021;3093;63
000000000000024733;3212;7637
000000000000630953;3093;73
000000000000210336;3211;175
000000000000355620;3211;531
000000000000501361;3223;914
000000000000985415;3086;454
000000000000607260;3088;62
000000000000622474;3211;61
000000000000010526;3092;609
000000000000213721;3086;184
000000000000181878;3225;82
000000000000655578;3180;12
000000000000139922;3094;48
000000000000010664;3193;49
000000000000566684;3187;115
000000000000005054;3089;254
000000000000553519;3187;129
000000000000647125;3193;54
000000000000321094;3089;1771
000000000400218001;3172;227
000000000000053957;3093;145
000000000000641109;3172;24
000000000000661119;3091;1114
000000000000210393;3223;21
000000000000665610;3187;22
000000000000639896;3098;288
000000000000134123;3180;152
000000000000132462;3193;376
000000000000899948;3193;1982
000000000000165526;3094;475
000000000402251001;3225;13
000000000000559524;3089;613
000000000000567727;3206;34
000000000000018292;3187;2009
000000000000661945;3172;93
000000000000649222;3074;152
000000000000561523;3180;15
000000000000146224;3088;12
000000000000668125;3085;188
000000000000008527;3187;74
000000000000024552;3074;272
000000000000759335;3092;894
000000000000649042;3093;202
000000000000006537;3172;134
000000000000206654;3187;22
000000000000665791;3088;42
000000000401724001;3180;69
000000000622009002;3091;151
000000000000566344;3094;165
000000000400072001;3223;33
000000000000565609;3086;28
000000000000177770;3223;186
000000000000561208;3093;102
000000000000646202;3098;399
000000000000667695;3187;33
000000000000006495;3092;79
000000000641229001;3098;98
000000000000119002;3180;563
000000000000047391;3098;136
000000000665771001;3193;102
000000000000637930;3193;14
000000000000621033;3212;316
000000000000054626;3223;14
000000000000005959;3172;2409
000000000000052657;3223;121
000000000000894768;3086;58
000000000000957755;3085;31
000000000668910003;3225;85
000000000000538415;3206;38
000000000000626753;3088;25
000000000000006451;3092;365
000000000000520463;3225;22
000000000000976753;3085;172
000000000402032001;3086;56
000000000000543098;3211;28
000000000000132462;3211;1319
000000000000052663;3211;147
000000000000880880;3187;12
000000000000561208;3098;44
000000000000710446;3223;655
000000000000767397;3089;124
000000000000665263;3225;54
000000000000651225;3223;45
000000000000053845;3180;534
000000000000598873;3187;291
000000000000561155;3206;332
000000000000562128;3206;278
000000000000628711;3187;1228
000000000000156185;3098;46
000000000000018123;3094;1677
000000000000225728;3172;87
000000000000562182;3172;42
000000000000355618;3187;1673
000000000668910003;3092;93
000000000000281009;3225;29
000000000000005959;3092;950
000000000000663845;3093;227
000000000000832664;3193;66
000000000000510814;3093;36
000000000000631323;3074;25
000000000402629004;3092;2469
000000000000030965;3088;37
000000000000005961;3092;23
000000000648870001;3211;61
000000000000023776;3098;70
000000000000643027;3211;110
000000000000503539;3211;680
000000000000520476;3085;13
000000000000197613;3172;57
000000000000008591;3098;45
000000000000358391;3187;331
000000000000177770;3089;238
000000000000576609;3091;16
000000000000645720;3074;10
000000000000152770;3212;130
000000000000139492;3098;240
000000000000647123;3223;84
000000000000128218;3086;364
000000000000749098;3088;90
000000000000868933;3074;98
000000000000131318;3225;27
000000000000666031;3225;20
000000000000625402;3193;92
000000000000170132;3094;82
000000000000632940;3098;118
000000000000120789;3172;41
000000000000210484;3094;42
000000000000628239;3180;35
000000000000845600;3092;47
000000000000816588;3091;331
000000000000194269;3086;66
000000000000973574;3212;5
000000000000649345;3089;394
000000000000585243;3212;218
000000000000780172;3211;118
000000000000147716;3223;33
000000000624299003;3091;97
000000000000031221;3172;34
000000000000647716;3193;87
000000000000634412;3212;65
000000000000639501;3211;67
000000000000638228;3211;71
000000000000024562;3091;37
000000000624310001;3086;40
000000000000005757;3193;22
000000000000647716;3187;122
000000000000174295;3093;57
000000000000198342;3180;103
000000000000883205;3211;33
000000000000198491;3088;6660
000000000000138610;3187;405
000000000000650196;3093;58
000000000641229002;3193;182
000000000400067004;3211;69
000000000000868933;3211;142
000000000000010217;3089;71
000000000000059805;3193;115
000000000000014296;3085;43
000000000000749098;3187;1660
000000000000666019;3091;92
000000000000281009;3089;22
000000000000017739;3091;138
000000000000006455;3211;108
000000000000006456;3091;42
000000000000210336;3086;62
000000000000010659;3093;110
000000000000781195;3180;125
000000000000145903;3074;321
000000000000052656;3094;105
000000000000339586;3098;30
000000000000567913;3223;545
000000000000007448;3094;877
000000000634844001;3225;26
000000000645975003;3172;247
000000000000663844;3172;457
000000000000006531;3180;2087
000000000000118603;3206;51
000000000000145237;3074;359
000000000400261002;3092;1291
000000000000217411;3086;71
000000000000646202;3093;549
000000000401867004;3092;61
000000000000213571;3206;148
000000000000125621;3094;87
000000000000961236;3223;38
000000000400067005;3212;24
000000000000015769;3212;22
000000000000006126;3092;1852
000000000000004898;3086;52
000000000000191004;3223;73
000000000000652615;3212;42
000000000000625810;3193;30
000000000000015532;3085;98
000000000000032136;3187;277
000000000000558051;3088;8
000000000000665845;3086;28
000000000000558053;3212;25
000000000000284662;3085;115
000000000000131441;3187;963
000000000000641279;3093;35
000000000000615835;3211;49
000000000000225728;3089;71
000000000000816587;3180;771
000000000000558051;3094;7
000000000000667907;3180;393
000000000000152767;3098;86
000000000000649222;3211;165
